"Product_Collection","Vertical_Segment","Processor_Number","Status","Lithography","Recommended_Customer_Price","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency","Max_Turbo_Frequency","Cache","Bus_Speed","TDP","Embedded_Options_Available","Conflict_Free","Max_Memory_Size","Memory_Types","Max_nb_of_Memory_Channels","Max_Memory_Bandwidth","ECC_Memory_Supported","Processor_Graphics_","Graphics_Base_Frequency","Graphics_Max_Dynamic_Frequency","Graphics_Video_Max_Memory","Graphics_Output","Support_4k","Max_Resolution_HDMI","Max_Resolution_DP","Max_Resolution_eDP_Integrated_Flat_Panel","DirectX_Support","OpenGL_Support","PCI_Express_Revision","PCI_Express_Configurations_","Max_nb_of_PCI_Express_Lanes","T","Intel_Hyper_Threading_Technology_","Intel_Virtualization_Technology_VTx_","Intel_64_","Instruction_Set","Instruction_Set_Extensions","Idle_States","Thermal_Monitoring_Technologies","Secure_Key","Execute_Disable_Bit","Launch_Year","price_per_core","price_per_thread"
"Intel® Xeon® Processor D Family","Server","D-1553N","Launched","14 nm",855,8,16,2.3,2.7,12,"",65,"No","Yes","128 GB","DDR4, DDR3",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2.0/3.0","x4 x8 x16",32,"","Yes","Yes","Yes","64-bit","AVX 2.0","Yes","Yes","Yes","Yes",2017,106.875,53.4375
"Intel® Xeon® Processor D Family","Server","D-1571","Launched","14 nm",1222,16,32,1.3,2.1,24,"",45,"No","Yes","128 GB","DDR4, DDR3",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2.0/3.0","x4 x8 x16",32,"","Yes","Yes","Yes","64-bit","AVX 2.0","Yes","Yes","Yes","Yes",2016,76.375,38.1875
"Intel® Xeon® Processor D Family","Server","D-1577","Launched","14 nm",1477,16,32,1.3,2.1,24,"",45,"Yes","Yes","128 GB","DDR4, DDR3",2,"","Yes",NA,"","","","",NA,"","","","",NA,"2.0/3.0","x4 x8 x16",32,"","Yes","Yes","Yes","64-bit","AVX 2.0","Yes","Yes","Yes","Yes",2016,92.3125,46.15625
"Legacy Intel® Xeon® Processors","Server","E5606","End of Life","32 nm",223,4,4,2.13,3.3,8,"4.8 GT/s QPI",80,"No","","288 GB","DDR3 800/1066 ",3,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"","",NA,"","No","Yes","Yes","64-bit","SSE4.2","Yes","No","","Yes",2011,55.75,55.75
"Legacy Intel® Xeon® Processors","Server","","End of Life","130 nm",303,1,4,2.4,3.3,0.5,"400 MHz FSB",40,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"81°C","Yes","No","No","32-bit","","No","","","No",2003,303,75.75
"Legacy Intel® Xeon® Processors","Server","","End of Life","90 nm",303,1,4,2.8,3.3,1,"800 MHz FSB",55,"Yes","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"86°C","Yes","No","Yes","64-bit","","Yes","","","Yes",2004,303,75.75
"Legacy Intel® Xeon® Processors","Server","E5607","Launched","32 nm",277.5,4,4,2.26,3.3,8,"4.8 GT/s QPI",80,"No","Yes","288 GB","DDR3 800/1066 ",3,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"","",NA,"","No","Yes","Yes","64-bit","SSE4.2","Yes","No","","Yes",2011,69.375,69.375
"Legacy Intel® Xeon® Processors","Server","","End of Life","130 nm",303,1,4,1.6,3.3,0.5,"400 MHz FSB",30,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"81°C","Yes","No","No","32-bit","","No","","","No",2002,303,75.75
"Legacy Intel® Xeon® Processors","Server","E5620","Launched","32 nm",380,4,8,2.4,2.66,12,"5.86 GT/s QPI",80,"Yes","Yes","288 GB","DDR3 800/1066 ",3,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"","",NA,"77.6°C","Yes","Yes","Yes","64-bit","SSE4.2","Yes","No","","Yes",2010,95,47.5
"Legacy Intel® Xeon® Processors","Server","","End of Interactive Support","130 nm",303,1,4,3,3.3,0.5,"400 MHz FSB",85,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"73°C","Yes","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Xeon® Processors","Server","E5630","End of Life","32 nm",552.5,4,8,2.53,2.8,12,"5.86 GT/s QPI",80,"No","","288 GB","DDR3 800/1066 ",3,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"","",NA,"77.6°C","Yes","Yes","Yes","64-bit","SSE4.2","Yes","No","","Yes",2010,138.125,69.0625
"Legacy Intel® Xeon® Processors","Server","","End of Interactive Support","130 nm",3692,1,4,3,3.3,4,"400 MHz FSB",85,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"71°C","","No","","32-bit","","","","","",2013,3692,923
"Legacy Intel® Xeon® Processors","Server","","Launched","90 nm",303,1,4,3.8,3.3,2,"800 MHz FSB",110,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"73°C","Yes","No","Yes","64-bit","","Yes","","","Yes",2013,303,75.75
"Legacy Intel® Xeon® Processors","Server","E5640","End of Life","32 nm",775.5,4,8,2.66,2.93,12,"5.86 GT/s QPI",80,"No","","288 GB","DDR3 800/1066 ",3,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"","",NA,"77.6°C","Yes","Yes","Yes","64-bit","SSE4.2","Yes","No","","Yes",2010,193.875,96.9375
"Legacy Intel® Xeon® Processors","Server","","End of Interactive Support","130 nm",303,1,4,2.8,3.3,0.5,"400 MHz FSB",74,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"C1=70°C; D1=75°C","Yes","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Xeon® Processors","Server","","Launched","90 nm",303,1,4,3.8,3.3,2,"800 MHz FSB",110,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"73°C","Yes","No","Yes","64-bit","","Yes","","","Yes",2013,303,75.75
"Legacy Intel® Xeon® Processors","Server","E5645","Launched","32 nm",539.5,6,12,2.4,2.67,12,"5.86 GT/s QPI",80,"Yes","Yes","288 GB","DDR3 800/1066/1333 ",3,"32 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"","",NA,"76.2°C","Yes","Yes","Yes","64-bit","SSE4.2","Yes","No","","Yes",2010,89.9166666666667,44.9583333333333
"Legacy Intel® Xeon® Processors","Server","","End of Interactive Support","130 nm",3692,1,4,2.8,3.3,2,"400 MHz FSB",72,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"69°C","","No","","32-bit","","","","","",2013,3692,923
"Legacy Intel® Xeon® Processors","Server","E5649","Launched","32 nm",775.5,6,12,2.53,2.93,12,"5.86 GT/s QPI",80,"No","Yes","288 GB","DDR3 800/1066/1333 ",3,"32 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"","",NA,"76.2°C","Yes","Yes","Yes","64-bit","SSE4.2","Yes","No","","Yes",2011,129.25,64.625
"Legacy Intel® Xeon® Processors","Server","","End of Interactive Support","130 nm",1980,1,4,2.7,3.3,2,"400 MHz FSB",80,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"70°C","","No","","32-bit","","","","","",2013,1980,495
"Legacy Intel® Xeon® Processors","Server","","Launched","90 nm",303,1,4,3.6,3.3,2,"800 MHz FSB",110,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"73°C","Yes","No","Yes","64-bit","","Yes","","","Yes",2013,303,75.75
"Legacy Intel® Xeon® Processors","Server","L5609","End of Life","32 nm",440,4,4,1.86,1.86,12,"4.8 GT/s QPI",40,"No","","288 GB","DDR3 800/1066 ",3,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"","",NA,"63.1°C","No","Yes","Yes","64-bit","SSE4.2","Yes","No","","Yes",2010,110,110
"Legacy Intel® Xeon® Processors","Server","","Launched","90 nm",303,1,4,3.6,3.3,2,"800 MHz FSB",110,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"72°C","Yes","No","","64-bit","","","","","",2013,303,75.75
"Legacy Intel® Xeon® Processors","Server","","End of Interactive Support","130 nm",303,1,4,2.6,3.3,0.5,"400 MHz FSB",60,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"74°C","Yes","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Xeon® Processors","Server","L5618","Launched","32 nm",437,4,8,1.87,2.26,12,"5.86 GT/s QPI",40,"Yes","Yes","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"87°C","Yes","Yes","Yes","","","Yes","","","",2010,109.25,54.625
"Legacy Intel® Xeon® Processors","Server","E5502","Launched","45 nm",303,2,2,1.86,3.3,4,"4.8 GT/s QPI",80,"No","","144 GB","DDR3 800",3,"19.2 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"","",NA,"76°C","No","Yes","Yes","64-bit","","Yes","","","Yes",2009,151.5,151.5
"Legacy Intel® Xeon® Processors","Server","E5405","End of Life","45 nm",231,4,4,2,3.3,12,"1333 MHz FSB",80,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"67°C","No","Yes","Yes","64-bit","","No","Yes","","Yes",2007,57.75,57.75
"Legacy Intel® Xeon® Processors","Server","","End of Interactive Support","130 nm",1980,1,4,2.5,3.3,1,"400 MHz FSB",66,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"70°C","","No","","32-bit","","","","","",2013,1980,495
"Legacy Intel® Xeon® Processors","Server","","End of Life","90 nm",303,1,4,3.6,3.3,1,"800 MHz FSB",103,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"72°C","Yes","No","","64-bit","","","","","",2013,303,75.75
"Legacy Intel® Xeon® Processors","Server","L5630","End of Life","32 nm",552.5,4,8,2.13,2.4,12,"5.86 GT/s QPI",40,"No","","288 GB","DDR3 800/1066 ",3,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"","",NA,"63.1°C","Yes","Yes","Yes","64-bit","SSE4.2","Yes","No","","Yes",2010,138.125,69.0625
"Legacy Intel® Xeon® Processors","Server","E5503","Launched","45 nm",303,2,2,2,3.3,4,"4.8 GT/s QPI",80,"No","","144 GB","DDR3 800",3,"19.2 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"","",NA,"76°C","No","Yes","Yes","64-bit","","Yes","No","","Yes",2010,151.5,151.5
"Legacy Intel® Xeon® Processors","Server","E5410","End of Life","45 nm",284,4,4,2.33,3.3,12,"1333 MHz FSB",80,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"67°C","No","Yes","Yes","64-bit","","Yes","Yes","","Yes",2007,71,71
"Legacy Intel® Xeon® Processors","Server","","End of Interactive Support","130 nm",303,1,4,2.4,3.3,0.5,"400 MHz FSB",65,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"B0=71°C; C1+D1=74°C","Yes","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Xeon® Processors","Server","","Launched","90 nm",303,1,4,3.4,3.3,2,"800 MHz FSB",110,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"73°C","Yes","No","Yes","64-bit","","Yes","","","Yes",2013,303,75.75
"Legacy Intel® Xeon® Processors","Server","E5504","Launched","45 nm",221,4,4,2,3.3,4,"4.8 GT/s QPI",80,"Yes","","144 GB","DDR3 800",3,"19.2 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"","",NA,"76°C","No","Yes","Yes","64-bit","","Yes","","","Yes",2009,55.25,55.25
"Legacy Intel® Xeon® Processors","Server","L5638","Launched","32 nm",525,6,12,2,2.4,12,"5.86 GT/s QPI",60,"Yes","Yes","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"85°C","Yes","Yes","Yes","","","Yes","","","",2010,87.5,43.75
"Legacy Intel® Xeon® Processors","Server","E5420","End of Life","45 nm",347,4,4,2.5,3.3,12,"1333 MHz FSB",80,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"67°C","No","Yes","Yes","64-bit","","Yes","Yes","","Yes",2007,86.75,86.75
"Legacy Intel® Xeon® Processors","Server","","End of Interactive Support","90 nm",303,1,4,3.4,3.3,2,"800 MHz FSB",110,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"72°C","Yes","No","","64-bit","","","","","",2013,303,75.75
"Legacy Intel® Xeon® Processors","Server","","End of Interactive Support","130 nm",303,1,4,2.2,3.3,0.5,"400 MHz FSB",61,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"B0=72°C; C1+D1=75°C","Yes","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Xeon® Processors","Server","E5506","Launched","45 nm",303,4,4,2.13,3.3,4,"4.8 GT/s QPI",80,"No","","144 GB","DDR3 800",3,"19.2 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"","",NA,"76°C","No","Yes","Yes","64-bit","","Yes","","","Yes",2009,75.75,75.75
"Legacy Intel® Xeon® Processors","Server","E5205","End of Life","45 nm",303,2,4,1.86,3.3,6,"1066 MHz FSB",65,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"66°C","No","Yes","Yes","64-bit","","Yes","","","Yes",2007,151.5,75.75
"Legacy Intel® Xeon® Processors","Server","E5430","End of Life","45 nm",491,4,4,2.66,3.3,12,"1333 MHz FSB",80,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"67°C","No","Yes","Yes","64-bit","","Yes","Yes","","Yes",2007,122.75,122.75
"Legacy Intel® Xeon® Processors","Server","","End of Interactive Support","130 nm",1177,1,4,2.2,3.3,2,"400 MHz FSB",65,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"65°C","","No","","32-bit","","","","","",2013,1177,294.25
"Legacy Intel® Xeon® Processors","Server","","End of Life","90 nm",303,1,4,3.4,3.3,1,"800 MHz FSB",103,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"72°C","Yes","No","","64-bit","","","","","",2013,303,75.75
"Legacy Intel® Xeon® Processors","Server","L5640","End of Life","32 nm",997.5,6,12,2.26,2.8,12,"5.86 GT/s QPI",60,"No","","288 GB","DDR3 800/1066/1333 ",3,"32 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"","",NA,"69.4°C","Yes","Yes","Yes","64-bit","SSE4.2","Yes","No","","Yes",2010,166.25,83.125
"Legacy Intel® Xeon® Processors","Server","E5507","Launched","45 nm",303,4,4,2.26,3.3,4,"4.8 GT/s QPI",80,"No","","144 GB","DDR3 800",3,"19.2 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"","",NA,"76°C","No","Yes","Yes","64-bit","","Yes","","","Yes",2010,75.75,75.75
"Legacy Intel® Xeon® Processors","Server","E5220","Launched","45 nm",317,2,4,2.33,3.3,6,"1333 MHz FSB",65,"Yes","Yes","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"66°C","No","Yes","Yes","64-bit","","No","","","Yes",2008,158.5,79.25
"Legacy Intel® Xeon® Processors","Server","E5440","Launched","45 nm",719,4,4,2.83,3.3,12,"1333 MHz FSB",80,"Yes","Yes","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"67°C","No","Yes","Yes","64-bit","","Yes","Yes","","Yes",2008,179.75,179.75
"Legacy Intel® Xeon® Processors","Server","","End of Life","65 nm",303,2,4,1.66,3.3,2,"667 MHz FSB",15,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","Yes","No","32-bit","","Yes","","","Yes",2006,151.5,75.75
"Legacy Intel® Xeon® Processors","Server","","Launched","130 nm",303,1,4,2,3.3,0.5,"400 MHz FSB",58,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"70°C","Yes","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Xeon® Processors","Server","","Launched","90 nm",303,1,4,3.2,3.3,2,"800 MHz FSB",110,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"73°C","Yes","No","Yes","64-bit","","Yes","","","Yes",2013,303,75.75
"Legacy Intel® Xeon® Processors","Server","X5647","End of Life","32 nm",774,4,8,2.93,3.2,12,"5.86 GT/s QPI",130,"No","","288 GB","DDR3 800/1066 ",3,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"","",NA,"80.4°C","Yes","Yes","Yes","64-bit","SSE4.2","Yes","No","","Yes",2011,193.5,96.75
"Legacy Intel® Xeon® Processors","Server","E5520","Launched","45 nm",303,4,8,2.26,2.53,8,"5.86 GT/s QPI",80,"No","","144 GB","DDR3 800/1066 ",3,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"","",NA,"72°C","Yes","Yes","Yes","64-bit","","Yes","","","Yes",2009,75.75,37.875
"Legacy Intel® Xeon® Processors","Server","E5450","End of Life","45 nm",969,4,4,3,3.3,12,"1333 MHz FSB",80,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"67°C","No","Yes","Yes","64-bit","","Yes","Yes","","Yes",2007,242.25,242.25
"Legacy Intel® Xeon® Processors","Embedded","E5240","Launched","45 nm",649,2,4,3,3.3,6,"1333 MHz FSB",65,"Yes","Yes","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"66°C","No","Yes","Yes","64-bit","","No","","","Yes",2008,324.5,162.25
"Legacy Intel® Xeon® Processors","Server","","End of Life","65 nm",303,2,4,2.16,3.3,2,"667 MHz FSB",31,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","Yes","No","32-bit","","Yes","","","Yes",2006,151.5,75.75
"Legacy Intel® Xeon® Processors","Server","","End of Interactive Support","90 nm",303,1,4,3.2,3.3,2,"800 MHz FSB",110,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"72°C","Yes","No","","64-bit","","","","","",2013,303,75.75
"Legacy Intel® Xeon® Processors","Server","","End of Interactive Support","130 nm",3587,1,4,2,3.3,2,"400 MHz FSB",57,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"69°C","","No","","32-bit","","","","","",2013,3587,896.75
"Legacy Intel® Xeon® Processors","Server","X5650","End of Life","32 nm",997.5,6,12,2.66,3.06,12,"6.4 GT/s QPI",95,"No","","288 GB","DDR3 800/1066/1333 ",3,"32 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"","",NA,"81.3°C","Yes","Yes","Yes","64-bit","SSE4.2","Yes","No","","Yes",2010,166.25,83.125
"Legacy Intel® Xeon® Processors","Server","E5530","Launched","45 nm",303,4,8,2.4,2.66,8,"5.86 GT/s QPI",80,"No","","144 GB","DDR3 800/1066 ",3,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"","",NA,"76°C","Yes","Yes","Yes","64-bit","","Yes","","","Yes",2009,75.75,37.875
"Legacy Intel® Xeon® Processors","Server","E5462","End of Life","45 nm",303,4,4,2.8,3.3,12,"1600 MHz FSB",80,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"67°C","No","Yes","Yes","64-bit","","Yes","Yes","","Yes",2007,75.75,75.75
"Legacy Intel® Xeon® Processors","Server","","End of Life","90 nm",303,1,4,3.2,3.3,1,"800 MHz FSB",103,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"72°C","Yes","No","Yes","64-bit","","Yes","","","No",2004,303,75.75
"Legacy Intel® Xeon® Processors","Server","","End of Interactive Support","130 nm",303,1,4,3.2,3.3,2,"533 MHz FSB",92,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"71°C","Yes","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Xeon® Processors","Server","","End of Interactive Support","180 nm",303,1,4,2,3.3,0.25,"400 MHz FSB",77.5,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"78°C","","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Xeon® Processors","Server","","End of Life","65 nm",303,2,4,2,3.3,2,"667 MHz FSB",31,"Yes","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","Yes","No","32-bit","","No","","","Yes",2006,151.5,75.75
"Legacy Intel® Xeon® Processors","Server","5110","End of Life","65 nm",303,2,4,1.6,3.3,4,"1066 MHz FSB",65,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"65°C","No","Yes","Yes","64-bit","","Yes","Yes","","Yes",2013,151.5,75.75
"Legacy Intel® Xeon® Processors","Server","X5660","End of Life","32 nm",1220.5,6,12,2.8,3.2,12,"6.4 GT/s QPI",95,"No","","288 GB","DDR3 800/1066/1333 ",3,"32 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"","",NA,"81.3°C","Yes","Yes","Yes","64-bit","SSE4.2","Yes","No","","Yes",2010,203.416666666667,101.708333333333
"Legacy Intel® Xeon® Processors","Server","E5540","Launched","45 nm",940,4,8,2.53,2.8,8,"5.86 GT/s QPI",80,"Yes","","144 GB","DDR3 800/1066 ",3,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"","",NA,"76°C","Yes","Yes","Yes","64-bit","","Yes","","","Yes",2009,235,117.5
"Legacy Intel® Xeon® Processors","Server","E5472","End of Life","45 nm",303,4,4,3,3.3,12,"1600 MHz FSB",80,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"67°C","No","Yes","Yes","64-bit","","Yes","Yes","","Yes",2007,75.75,75.75
"Legacy Intel® Xeon® Processors","Server","","End of Interactive Support","130 nm",856,1,4,2,3.3,1,"400 MHz FSB",57,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"69°C","","No","","32-bit","","","","","",2013,856,214
"Legacy Intel® Xeon® Processors","Server","","End of Interactive Support","130 nm",303,1,4,3.2,3.3,1,"533 MHz FSB",92,"Yes","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"71°C","Yes","No","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Xeon® Processors","Server","5120","End of Life","65 nm",303,2,4,1.86,3.3,4,"1066 MHz FSB",65,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"65°C","No","Yes","Yes","64-bit","","Yes","Yes","","Yes",2013,151.5,75.75
"Legacy Intel® Xeon® Processors","Server","X5667","End of Life","32 nm",1440,4,8,3.06,3.46,12,"6.4 GT/s QPI",95,"No","","288 GB","DDR3 800/1066/1333 ",3,"32 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"","",NA,"82.9°C","Yes","Yes","Yes","64-bit","SSE4.2","Yes","No","","Yes",2010,360,180
"Legacy Intel® Xeon® Processors","Server","","End of Interactive Support","",303,1,4,0.6,3.3,0.25,"100 MHz FSB",47,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"","","","","32-bit","","","","","",2013,303,75.75
"Legacy Intel® Xeon® Processors","Server","L5506","Launched","45 nm",303,4,4,2.13,3.3,4,"4.8 GT/s QPI",60,"No","","144 GB","DDR3 800",3,"19.2 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"","",NA,"70°C","No","Yes","Yes","64-bit","","Yes","","","Yes",2009,75.75,75.75
"Legacy Intel® Xeon® Processors","Server","L3360","End of Life","45 nm",340,4,4,2.83,3.3,12,"1333 MHz FSB",65,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"76.25°C","No","Yes","Yes","64-bit","","","","","Yes",2009,85,85
"Legacy Intel® Xeon® Processors","Server","L5215","Launched","45 nm",303,2,4,1.86,3.3,6,"1066 MHz FSB",20,"No","Yes","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"75°C","No","Yes","Yes","64-bit","","Yes","","","Yes",2008,151.5,75.75
"Legacy Intel® Xeon® Processors","Embedded","L5408","Launched","45 nm",494,4,4,2.13,3.3,12,"1066 MHz FSB",40,"Yes","Yes","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"72°C","No","Yes","Yes","64-bit","","No","","","Yes",2008,123.5,123.5
"Legacy Intel® Xeon® Processors","Server","E5310","End of Life","65 nm",303,4,4,1.6,3.3,8,"1066 MHz FSB",80,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"66°C","No","Yes","Yes","64-bit","","Yes","Yes","","Yes",2006,75.75,75.75
"Legacy Intel® Xeon® Processors","Server","","End of Interactive Support","130 nm",1850,1,4,1.9,3.3,1,"400 MHz FSB",55,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"68°C","","No","","32-bit","","","","","",2013,1850,462.5
"Legacy Intel® Xeon® Processors","Server","","End of Life","130 nm",303,1,4,3.06,3.3,0.5,"533 MHz FSB",85,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"73°C","Yes","No","No","32-bit","","No","","","No",2013,303,75.75
"Legacy Intel® Xeon® Processors","Server","","End of Life","65 nm",303,2,4,1.66,3.3,2,"667 MHz FSB",31,"Yes","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"100°C","No","Yes","No","32-bit","","Yes","","","Yes",2006,151.5,75.75
"Legacy Intel® Xeon® Processors","Server","5130","Launched","65 nm",303,2,4,2,3.3,4,"1333 MHz FSB",65,"Yes","Yes","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"65°C","No","Yes","Yes","64-bit","","Yes","Yes","","Yes",2006,151.5,75.75
"Legacy Intel® Xeon® Processors","Server","","End of Life","90 nm",303,2,4,2.8,3.3,4,"800 MHz FSB",135,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"72°C","Yes","No","Yes","64-bit","","Yes","","","Yes",2013,151.5,75.75
"Legacy Intel® Xeon® Processors","Server","","End of Life","90 nm",303,1,4,3,3.3,2,"800 MHz FSB",110,"No","","","",NA,"","No",NA,"","","","",NA,"","","","",NA,"","",NA,"72°C","Yes","No","Yes","64-bit","","Yes","","","Yes",2013,303,75.75
"Legacy Intel® Xeon® Processors","Server","X5670","End of Life","32 nm",1441.5,6,12,2.93,3.33,12,"6.4 GT/s QPI",95,"No","","288 GB","DDR3 800/1066/1333 ",3,"32 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"","",NA,"81.3°C","Yes","Yes","Yes","64-bit","SSE4.2","Yes","No","","Yes",2010,240.25,120.125
"Legacy Intel® Xeon® Processors","Embedded","L5508","Launched","45 nm",403,2,4,2,2.4,8,"5.86 GT/s QPI",38,"Yes","","144 GB","DDR3 800/1066 ",3,"25.6 GB/s","Yes",NA,"","","","",NA,"","","","",NA,"","",NA,"85°C","Yes","Yes","Yes","64-bit","","Yes","","","Yes",2009,201.5,100.75
"Legacy Intel® Xeon® Processors","Server","X3320","End of Life","45 nm",303,4,4,2.5,3.3,6,"1333 MHz FSB",95,"No","","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"71.4°C","No","Yes","Yes","64-bit","","Yes","Yes","","Yes",2008,75.75,75.75
"Legacy Intel® Xeon® Processors","Server","L5410","Launched","45 nm",372,4,4,2.33,3.3,12,"1333 MHz FSB",50,"Yes","Yes","","",NA,"","",NA,"","","","",NA,"","","","",NA,"","",NA,"57°C","No","Yes","Yes","64-bit","","Yes","","","Yes",2008,93,93
